Frente	Verso
でした	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação です</span> <b>Era / Foi (passado formal)</b> — Polido Passado +<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela rápida です:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:11px;color:#111;"><tr style="background:#990000;color:white;"><th></th><th>Afirmativo</th><th>Negativo</th></tr><tr><td style="padding:3px;border:1px solid #999;">Presente</td><td style="padding:3px;border:1px solid #999;">です <span style="color:#888;">ou</span> だ</td><td style="padding:3px;border:1px solid #999;">じゃない <span style="color:#888;">ou</span> ではない</td></tr><tr><td style="padding:3px;border:1px solid #999;">Passado</td><td style="padding:3px;border:1px solid #999;">でした <span style="color:#888;">ou</span> だった</td><td style="padding:3px;border:1px solid #999;">ではありませんでした</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">昨日は雨</span><span style="color:#990000;font-weight:bold;">でした</span></b><br><span style="font-size:12px;color:#333;">Ontem foi chuva</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">いい旅行</span><span style="color:#990000;font-weight:bold;">でした</span></b><br><span style="font-size:12px;color:#333;">Foi uma boa viagem</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> です → でした. Só adicionar た ao radical でし.</div></div>
だった	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação です</span> <b>Era / Foi (passado informal)</b> — Informal Passado +<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela rápida です:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:11px;color:#111;"><tr style="background:#990000;color:white;"><th></th><th>Afirmativo</th><th>Negativo</th></tr><tr><td style="padding:3px;border:1px solid #999;">Presente</td><td style="padding:3px;border:1px solid #999;">です <span style="color:#888;">ou</span> だ</td><td style="padding:3px;border:1px solid #999;">じゃない <span style="color:#888;">ou</span> ではない</td></tr><tr><td style="padding:3px;border:1px solid #999;">Passado</td><td style="padding:3px;border:1px solid #999;">でした <span style="color:#888;">ou</span> だった</td><td style="padding:3px;border:1px solid #999;">ではありませんでした</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">子供の頃、静か</span><span style="color:#990000;font-weight:bold;">だった</span></b><br><span style="font-size:12px;color:#333;">Era quieto na infância</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">大変</span><span style="color:#990000;font-weight:bold;">だった</span></b><br><span style="font-size:12px;color:#333;">Foi difícil</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> だ → だった. Informal. だ + った = だった.</div></div>
だ	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação です</span> <b>É (informal de です)</b> — Informal Presente +<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela rápida です:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:11px;color:#111;"><tr style="background:#990000;color:white;"><th></th><th>Afirmativo</th><th>Negativo</th></tr><tr><td style="padding:3px;border:1px solid #999;">Presente</td><td style="padding:3px;border:1px solid #999;">です <span style="color:#888;">ou</span> だ</td><td style="padding:3px;border:1px solid #999;">じゃない <span style="color:#888;">ou</span> ではない</td></tr><tr><td style="padding:3px;border:1px solid #999;">Passado</td><td style="padding:3px;border:1px solid #999;">でした <span style="color:#888;">ou</span> だった</td><td style="padding:3px;border:1px solid #999;">ではありませんでした</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">これ</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">本</span><span style="color:#990000;font-weight:bold;">だ</span></b><br><span style="font-size:12px;color:#333;">Isto é um livro (informal)</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">彼は天才</span><span style="color:#990000;font-weight:bold;">だ</span></b><br><span style="font-size:12px;color:#333;">Ele é um gênio</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> です (formal) ↔ だ (informal). NÃO use だ com adjetivos い (*高いだ ❌).</div></div>
ではありませんでした	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação です</span> <b>Não era / Não foi (passado neg. formal)</b> — Polido Passado −<br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Tabela rápida です:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:11px;color:#111;"><tr style="background:#990000;color:white;"><th></th><th>Afirmativo</th><th>Negativo</th></tr><tr><td style="padding:3px;border:1px solid #999;">Presente</td><td style="padding:3px;border:1px solid #999;">です <span style="color:#888;">ou</span> だ</td><td style="padding:3px;border:1px solid #999;">じゃない <span style="color:#888;">ou</span> ではない</td></tr><tr><td style="padding:3px;border:1px solid #999;">Passado</td><td style="padding:3px;border:1px solid #999;">でした <span style="color:#888;">ou</span> だった</td><td style="padding:3px;border:1px solid #999;">ではありませんでした</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">昨日は休み</span><span style="color:#990000;font-weight:bold;">ではありませんでした</span></b><br><span style="font-size:12px;color:#333;">Ontem não foi feriado</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">簡単</span><span style="color:#990000;font-weight:bold;">ではありませんでした</span></b><br><span style="font-size:12px;color:#333;">Não foi fácil</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Longa: では + ありません + でした. Forma escrita formal.</div></div>
〜ます	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Forma polida afirmativa — presente/futuro</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">RADICAL + <span style="background:#990000;color:white;padding:2px 6px;border-radius:3px;">ます</span><br>食べ<b>ます</b> = como/comerei</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">パン</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べます</span></b><br><span style="font-size:12px;color:#333;">Como pão</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">毎日</span><span style="color:#005a1e;font-weight:bold;">テレビ</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">見ます</span></b><br><span style="font-size:12px;color:#333;">Vejo TV todos os dias</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#990000;font-weight:bold;">食べます</span><span style="color:#005a1e;font-weight:bold;">パン</span></b><br><span style="font-size:12px;color:#333;">❌ Verbo SEMPRE no final!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> ます = polido. Presente e futuro são iguais (contexto define). Passado: ました. Negativo: ません.</div></div>
〜ません	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Negativa polida — não faço/não farei</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">RADICAL + <span style="background:#990000;color:white;padding:2px 6px;border-radius:3px;">ません</span><br>食べ<b>ません</b> = não como</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">肉</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べません</span></b><br><span style="font-size:12px;color:#333;">Não como carne</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">今日</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#990000;font-weight:bold;">行きません</span></b><br><span style="font-size:12px;color:#333;">Hoje não vou</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> ます → ません (direto!). Passado negativo polido: 〜ませんでした.</div></div>
〜ない	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Negativa informal — não (básico)</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">RADICAL + ない (godan: última vogal → A)<br>食べ<b>ない</b> = não como</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">僕</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">テレビ</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">見ない</span></b><br><span style="font-size:12px;color:#333;">Não vejo TV</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">お酒</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">飲まない</span></b><br><span style="font-size:12px;color:#333;">Não bebo álcool</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 〜ない = básica negativa (dicionário). Versão polida = 〜ません.</div></div>
〜ました	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Passado polido — fez / aconteceu</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">RADICAL + ました<br>食べ<b>ました</b> = comi</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">宿題</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">しました</span></b><br><span style="font-size:12px;color:#333;">Fiz a lição de casa</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">昨日</span><span style="color:#005a1e;font-weight:bold;">映画</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">見ました</span></b><br><span style="font-size:12px;color:#333;">Ontem vi um filme</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> ます → ました: muda す final para した. Mesmo padrão para TODOS os verbos!</div></div>
〜た / 〜った	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Passado informal — forma TA</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;"><table style="width:100%;border-collapse:collapse;font-size:11px;color:#111;"><tr style="background:#990000;color:white;"><th>Terminação</th><th>TA</th><th>Exemplo</th></tr><tr><td style="padding:3px;border:1px solid #999;">-る (ichidan)</td><td>-た</td><td>食べる→食べた</td></tr><tr><td style="padding:3px;border:1px solid #999;">-う/-つ/-る</td><td>-った</td><td>買う→買った</td></tr><tr><td style="padding:3px;border:1px solid #999;">-む/-ぬ/-ぶ</td><td>-んだ</td><td>読む→読んだ</td></tr><tr><td style="padding:3px;border:1px solid #999;">-く</td><td>-いた</td><td>書く→書いた</td></tr></table></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">ご飯</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べた</span></b><br><span style="font-size:12px;color:#333;">Comi</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">手紙</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">書いた</span></b><br><span style="font-size:12px;color:#333;">Escrevi uma carta</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Forma TA = passado informal. IMPORTANTE: base para 〜たり/〜たら/〜たことがある. Mesmas regras da forma TE!</div></div>
〜て (forma TE)	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>A cola dos verbos — conectar, pedir...</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">1️⃣ Conectar ações: 起き<b>て</b>、食べ<b>て</b>、行く<br>2️⃣ Pedido: 〜<b>て</b>ください<br>3️⃣ Contínuo: 〜<b>て</b>いる<br>4️⃣ Permissão: 〜<b>て</b>もいい<br>5️⃣ Proibição: 〜<b>て</b>はいけない</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#990000;font-weight:bold;">起きて</span>、<span style="color:#005a1e;font-weight:bold;">コーヒー</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">飲む</span></b><br><span style="font-size:12px;color:#333;">Acordo e bebo café</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">駅</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">行って</span>、<span style="color:#005a1e;font-weight:bold;">電車</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">乗った</span></b><br><span style="font-size:12px;color:#333;">Fui à estação e peguei o trem</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Forma TE = MESMAS regras da forma TA! Só trocar た→て, だ→で. Aprenda TA e ganhe TE de brinde.</div></div>
〜ている (informal) ・ 〜ています (polido)	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Ação contínua / Estado — estar fazendo</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">FORMA TE + <b>いる</b> (informal)<br>FORMA TE + <b>います</b> (polido)<br>食べ<b>ている</b> = está comendo</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">私</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#005a1e;font-weight:bold;">ご飯</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">食べています</span></b><br><span style="font-size:12px;color:#333;">Estou comendo</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">東京</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">住んでいます</span></b><br><span style="font-size:12px;color:#333;">Ele mora em Tóquio (estado)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> ている = 2 usos: 1-AÇÃO EM PROGRESSO, 2-ESTADO RESULTANTE (moro = resultado de ter se mudado).</div></div>
〜てください	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Por favor, faça... — pedido direto</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">FORMA TE + ください<br>書<b>いてください</b> = escreva, por favor</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">名前</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">書いてください</span></b><br><span style="font-size:12px;color:#333;">Por favor, escreva o nome</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">ここ</span><span style="color:#6a0080;font-weight:bold;">に</span><span style="color:#990000;font-weight:bold;">座ってください</span></b><br><span style="font-size:12px;color:#333;">Sente-se aqui, por favor</span></div><div style="background:#ffebee;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">❌ <b><span style="color:#990000;font-weight:bold;">座るください</span></b><br><span style="font-size:12px;color:#333;">❌ Precisa da forma TE (座って)!</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> SEMPRE forma TE antes de ください. Para pedido mais educado: 〜てくださいませんか.</div></div>
〜てもいいです	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>Pode fazer</b>  <span style="color:#888;">(pergunta: pode? / afirmação: pode)</span><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">FORMA TE + もいいです<br>食べ<b>てもいいです</b> = pode comer</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">写真</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">撮ってもいいです</span><span style="color:#6a0080;font-weight:bold;">か</span></b><br><span style="font-size:12px;color:#333;">Posso tirar foto?</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#005a1e;font-weight:bold;">窓</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">開けてもいいですか</span></b><br><span style="font-size:12px;color:#333;">Posso abrir a janela?</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> 〜てもいいですか = pergunta. 〜てもいいです = afirmação. Resposta SIM: はい、いいですよ.</div></div>
〜てはいけません	<div style="color:#222;font-size:15px;"><span style="background:#990000;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Conjugação verbal</span> <b>É proibido</b>  <span style="color:#888;">(não pode fazer)</span><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Construção:</b><br><span style="font-size:14px;">FORMA TE + はいけません<br>食べ<b>てはいけません</b> = não pode comer</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">ここ</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#005a1e;font-weight:bold;">タバコ</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">吸ってはいけません</span></b><br><span style="font-size:12px;color:#333;">Aqui não pode fumar</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">図書館</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">食べてはいけません</span></b><br><span style="font-size:12px;color:#333;">Não pode comer na biblioteca</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Forma escrita formal (placas/regras). Na fala coloquial: 〜ちゃだめ / 〜じゃだめ. Proibição FORTE.</div></div>
毎日 (まいにち)	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Todos os dias</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">毎日</span><span style="color:#990000;font-weight:bold;">勉強します</span></b><br><span style="font-size:12px;color:#333;">Estudo todos os dias</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">毎日</span><span style="color:#990000;font-weight:bold;">散歩する</span></b><br><span style="font-size:12px;color:#333;">Caminho todos os dias</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
いつも	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Sempre</b><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#003d80;font-weight:bold;">彼</span><span style="color:#6a0080;font-weight:bold;">は</span><span style="color:#b35900;font-weight:bold;">いつも</span><span style="color:#b35900;font-weight:bold;">早い</span><span style="color:#990000;font-weight:bold;">です</span></b><br><span style="font-size:12px;color:#333;">Ele sempre é cedo</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">いつも</span><span style="color:#003d80;font-weight:bold;">ここ</span><span style="color:#6a0080;font-weight:bold;">で</span><span style="color:#990000;font-weight:bold;">食べます</span></b><br><span style="font-size:12px;color:#333;">Sempre como aqui</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
よく	<div style="color:#222;font-size:15px;"><span style="background:#b35900;color:white;padding:3px 10px;border-radius:3px;font-size:12px;font-weight:bold;">Advérbio de frequência</span> <b>Frequentemente</b><br><span style="font-size:13px;color:#555;">(também significa "bem" = sinônimo de 上手に)</span><br><br><div style="background:#fff;padding:10px;border-radius:5px;margin:8px 0;"><b style="font-size:14px;">📊 Escala de frequência:</b><br><span style="font-size:14px;"><div style="margin:5px 0;"> <div style="display:flex;font-size:11px;text-align:center;color:#111;font-weight:bold;"> <div style="flex:1;background:#1b5e20;color:white;padding:4px;border-radius:3px;margin:1px;">100%<br>いつも</div> <div style="flex:1;background:#2e7d32;color:white;padding:4px;border-radius:3px;margin:1px;">80%<br>よく</div> <div style="flex:1;background:#f9a825;padding:4px;border-radius:3px;margin:1px;">60%<br>たいてい</div> <div style="flex:1;background:#ef6c00;color:white;padding:4px;border-radius:3px;margin:1px;">30%<br>時々</div> <div style="flex:1;background:#c62828;color:white;padding:4px;border-radius:3px;margin:1px;">10%<br>あまり</div> <div style="flex:1;background:#b71c1c;color:white;padding:4px;border-radius:3px;margin:1px;">0%<br>全然</div> </div></div></span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">よく</span><span style="color:#005a1e;font-weight:bold;">映画</span><span style="color:#6a0080;font-weight:bold;">を</span><span style="color:#990000;font-weight:bold;">見ます</span></b><br><span style="font-size:12px;color:#333;">Vejo filmes frequentemente</span></div><div style="background:#e8f5e9;padding:6px 10px;border-radius:4px;margin:4px 0;font-size:14px;">✅ <b><span style="color:#b35900;font-weight:bold;">よく</span><span style="color:#990000;font-weight:bold;">できました</span></b><br><span style="font-size:12px;color:#333;">Bom trabalho (fez bem)</span></div><div style="background:#fff3cd;padding:8px;border-radius:4px;margin:6px 0;font-size:13px;color:#333;"><b>💡</b> Advérbios de frequência geralmente NÃO usam partícula に. Coloque ANTES do verbo.</div></div>
